Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0/0   unassigned      YES unset  down                  down    
GigabitEthernet0/0/1   10.10.2.161     YES manual up                    up      
Gi0/0/1.30             10.10.2.129     YES manual up                    up      
Gi0/0/1.80             10.10.2.1       YES manual up                    up      
Gi0/0/1.99             10.10.2.169     YES manual up                    up      
Serial0/1/0            unassigned      YES unset  down                  down    
Serial0/1/1            10.10.10.6      YES manual up                    up      
Service-Engine0/4/0    unassigned      YES unset  up                    up      
GigabitEthernet0       unassigned      YES unset  down                  down    
Loopback2              10.0.0.6        YES manual up                    up
