Interface              IP-Address      OK? Method Status                Protocol
Vlan1                  10.10.2.166     YES manual up                    up      
Vlan99                 10.10.2.170     YES manual down                  down    
GigabitEthernet0/1     unassigned      YES unset  down                  down    
GigabitEthernet0/2     unassigned      YES unset  down                  down    
GigabitEthernet0/3     unassigned      YES unset  down                  down    
GigabitEthernet0/4     unassigned      YES unset  down                  down    
GigabitEthernet0/5     unassigned      YES unset  down                  down    
GigabitEthernet0/6     unassigned      YES unset  down                  down    
GigabitEthernet0/7     unassigned      YES unset  down                  down    
GigabitEthernet0/8     unassigned      YES unset  down                  down    
GigabitEthernet0/9     unassigned      YES unset  down                  down    
GigabitEthernet0/10    unassigned      YES unset  up                    up      
GigabitEthernet0/11    unassigned      YES unset  down                  down    
GigabitEthernet0/12    unassigned      YES unset  down                  down
